name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dhaka,2025-05-12,104.6,85,92.2,108.5,89.7,96.8,68.2,47.6,0.024,100,12.5,rain,0,0,22.8,13,160.4,1002.4,37.4,14.6,233.1,20.1,10,10,2025-05-12T05:17:52,2025-05-12T18:32:05,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
Dhaka,2025-05-13,104.8,81.9,90.9,111.4,88.6,98.8,72.6,58,0.099,16.1,20.83,rain,0,0,30.9,18.1,175.7,1002,43.8,15,299.9,25.9,10,60,2025-05-13T05:17:21,2025-05-13T18:32:34,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Dhaka,2025-05-14,101.2,77.8,87.7,110.2,77.8,95.7,73.8,65.8,1.128,45.2,37.5,rain,0,0,36.7,25.5,167.4,1003,64,13.6,232.5,20,10,60,2025-05-14T05:16:52,2025-05-14T18:33:03,0.55,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
Dhaka,2025-05-15,99.8,81.2,88.4,107.3,86.6,96.1,73.4,63.7,0.067,45.2,29.17,rain,0,0,29.1,17.2,181.1,1003.5,57.9,14.9,286.7,24.8,10,60,2025-05-15T05:16:24,2025-05-15T18:33:32,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-16,100.5,82.7,89.7,109.5,85.9,97.2,72.2,58.5,0.056,51.6,16.67,rain,0,0,26.4,16.1,188.1,1002.3,70.9,14.5,293.4,25.4,10,60,2025-05-16T05:15:56,2025-05-16T18:34:01,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-17,98,80.2,87.2,106.6,83.1,94.5,72.6,63.2,0.185,51.6,20.83,rain,0,0,21.6,13.3,180.4,1002.7,77,13.5,195.6,17.3,6,60,2025-05-17T05:15:30,2025-05-17T18:34:30,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-18,93.5,79.1,86.4,103.7,79.1,93.8,74,67.6,0.35,58.1,25,rain,0,0,23.7,15.7,168.1,1004.1,81.1,15,273.1,23.4,9,30,2025-05-18T05:15:06,2025-05-18T18:34:59,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-19,91.7,81.6,85.5,101.6,88.7,94.3,75.4,72.5,1.005,74.2,29.17,rain,0,0,21.5,11.4,151.1,1005.5,75.2,13.4,258.8,21.9,8,30,2025-05-19T05:14:42,2025-05-19T18:35:28,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-20,92.6,80,85.9,101.5,80,94,75.2,71.8,0.541,74.2,33.33,rain,0,0,18.3,8.7,172.1,1004.3,59.3,13.7,211,18,8,30,2025-05-20T05:14:19,2025-05-20T18:35:56,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-21,89.7,81.4,85.3,99.2,88.3,94,75.5,73.3,0.681,54.8,20.83,rain,0,0,17.2,8.3,169.4,1004,87.6,13.1,147.1,12.8,4,30,2025-05-21T05:13:58,2025-05-21T18:36:25,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-22,85.9,81.1,82.8,93.9,88,90.1,75.3,78.5,0.245,41.9,20.83,rain,0,0,14.5,7.4,156.3,1004.5,97.6,14.6,60.1,5.1,2,30,2025-05-22T05:13:38,2025-05-22T18:36:54,0.83,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
Dhaka,2025-05-23,92.6,81.1,85.8,103,88,95.4,76.3,74.4,0.622,45.2,20.83,rain,0,0,16.8,8.1,163.5,1003.7,83.3,13.4,194,16.8,5,60,2025-05-23T05:13:18,2025-05-23T18:37:22,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Dhaka,2025-05-24,91.1,81.4,85.9,102.6,88.4,95.3,76,73.1,0.807,45.2,25,rain,0,0,15.9,7.8,164.3,1003.2,94,12,210.3,18,7,30,2025-05-24T05:13:01,2025-05-24T18:37:51,0.9,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Dhaka,2025-05-25,92,81.5,85.6,102.5,88.2,94.3,75.1,71.6,0.224,38.7,16.67,rain,0,0,14.5,11.4,143.9,1003.5,100,12.6,271.8,23.4,8,30,2025-05-25T05:12:44,2025-05-25T18:38:19,0.93,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
Dhaka,2025-05-26,92,79.8,84.7,101.9,79.8,92.3,75.1,74,0.347,41.9,16.67,rain,0,0,15.2,10.7,153.3,1003.3,88,12.2,268.3,23.1,8,10,2025-05-26T05:12:28,2025-05-26T18:38:47,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
