name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2025-05-12,71,58.5,64.8,71,58.5,64.8,52.1,64.4,0.036,100,25,rain,0,0,23.3,7.8,130.3,1010.8,70.8,9,266.8,23,8,10,2025-05-12T05:13:05,2025-05-12T20:41:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"EGWU,EGLL,D5621,EGLC"
London,2025-05-13,74,54.6,63,74,54.6,63,47.7,60.8,0,12.9,0,,0,0,23.7,10.5,73.8,1017.2,38.4,15,313.7,27.2,8,10,2025-05-13T05:11:31,2025-05-13T20:43:19,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2025-05-14,71.9,47.7,59.3,71.9,45.3,58.8,42.7,56.1,0,0,0,,0,0,22.4,9.8,50.1,1021.5,18.8,15,307.5,26.6,8,10,2025-05-14T05:10:00,2025-05-14T20:44:50,0.56,Clear,Clear conditions throughout the day.,clear-day,
London,2025-05-15,64.3,47.4,55,64.3,43.1,54,42.4,63.8,0,0,0,,0,0,29.1,13,20.9,1025,66.2,15,294.8,25.6,9,10,2025-05-15T05:08:30,2025-05-15T20:46:20,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2025-05-16,67.9,45.9,55.8,67.9,43.7,54.9,42.3,63.2,0,0,0,,0,0,25.3,11.6,19.7,1025.9,19.8,15,329.8,28.7,9,10,2025-05-16T05:07:03,2025-05-16T20:47:50,0.63,Clear,Clear conditions throughout the day.,clear-day,
London,2025-05-17,64.7,47.6,56.2,64.7,45.4,55.6,42,59.4,0,0,0,,0,0,18.8,11.2,17,1025.5,19.2,15,296.8,25.8,8,10,2025-05-17T05:05:37,2025-05-17T20:49:18,0.66,Clear,Clear conditions throughout the day.,clear-day,
London,2025-05-18,70.1,48.3,57.5,70.1,46.5,57.1,42.5,58.7,0,3.2,0,rain,0,0,16.8,11.6,14.9,1022.1,37,15,319,27.6,8,10,2025-05-18T05:04:14,2025-05-18T20:50:45,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2025-05-19,72.2,50.4,61.6,72.2,50.4,61.6,46.8,61.5,0.012,9.7,8.33,rain,0,0,25,11.9,72.9,1019.4,40.9,15,310.5,27,8,10,2025-05-19T05:02:53,2025-05-19T20:52:11,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
London,2025-05-20,63.2,57.1,59.5,63.2,57.1,59.5,53.8,82,0.177,6.5,25,rain,0,0,30.6,10.7,88.6,1013,89.9,14.6,50.9,4.5,2,10,2025-05-20T05:01:34,2025-05-20T20:53:35,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2025-05-21,63.9,56.2,59.6,63.9,56.2,59.6,54.9,85.4,0.087,16.1,20.83,rain,0,0,20.6,8.7,162.5,1012.5,88.9,15,92.4,7.8,2,10,2025-05-21T05:00:18,2025-05-21T20:54:59,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2025-05-22,63.6,53,58.1,63.6,53,58.1,47.9,70.5,0.012,12.9,4.17,rain,0,0,18.8,12.1,182.9,1011.1,100,14.9,176.6,15.3,4,10,2025-05-22T04:59:04,2025-05-22T20:56:21,0.84,Overcast,Cloudy skies throughout the day.,cloudy,
London,2025-05-23,64.7,51.3,57.6,64.7,51.3,57.6,48.7,73.9,0.213,25.8,29.17,rain,0,0,17,9.6,222.7,1008,87.2,12.5,214,18.3,8,10,2025-05-23T04:57:52,2025-05-23T20:57:42,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2025-05-24,62,51.2,57.3,62,51.2,57.3,50.1,77.5,0.004,19.4,4.17,rain,0,0,15.1,6.7,204,1009.9,91.9,15,108.8,9.6,3,10,2025-05-24T04:56:42,2025-05-24T20:59:01,0.91,Overcast,Cloudy skies throughout the day.,cloudy,
London,2025-05-25,66.6,55.8,60.1,66.6,55.8,60.1,57.4,91.1,0.355,16.1,25,rain,0,0,22.4,7.8,137.7,1007.4,99.9,10.4,115,9.9,5,10,2025-05-25T04:55:35,2025-05-25T21:00:19,0.94,Overcast,Cloudy skies throughout the day.,cloudy,
London,2025-05-26,66.8,57.5,61.8,66.8,57.5,61.8,54.1,77.1,0.118,29,8.33,rain,0,0,18.1,11.2,220.5,1009,55.1,13.9,284.3,24.9,8,10,2025-05-26T04:54:31,2025-05-26T21:01:35,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
