name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manaus,2025-05-12,90.9,75.1,80.3,97.7,75.1,82.6,73.7,82.4,0.142,100,54.17,rain,0,0,10.5,5.8,82.1,1011.9,87.1,11.5,222.7,19.2,9,60,2025-05-12T05:57:13,2025-05-12T17:56:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"SBMN,SBEG"
Manaus,2025-05-13,89.3,73.1,78.6,97.7,73.1,81.4,73.8,86.5,0.396,87.1,79.17,rain,0,0,14.3,5.1,92.7,1010.6,71.8,12.4,227.2,19.4,9,60,2025-05-13T05:57:16,2025-05-13T17:55:57,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-14,90.2,73.7,78.9,97.1,73.7,81.5,73.8,86.2,0.616,87.1,79.17,rain,0,0,10.7,5.6,92.9,1009.8,83.3,12.2,213.3,18.4,9,30,2025-05-14T05:57:20,2025-05-14T17:55:54,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-15,85,72.8,76.2,91.1,72.8,77.1,73.1,90.6,0.372,90.3,79.17,rain,0,0,9.4,4,75.2,1010.8,87.1,13.7,105.9,9.1,8,10,2025-05-15T05:57:24,2025-05-15T17:55:52,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Manaus,2025-05-16,83.7,72.9,76.3,90.9,72.9,77.6,73.4,91,0.275,77.4,62.5,rain,0,0,8.5,4.9,26.2,1010.8,89.5,12.7,177.3,15.3,7,30,2025-05-16T05:57:28,2025-05-16T17:55:50,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-17,86.6,73.1,78.3,94.3,73.1,80.9,73.9,87.4,0.398,77.4,29.17,rain,0,0,8.7,4.3,60.1,1010.5,83.9,13.9,233.1,20.4,8,60,2025-05-17T05:57:33,2025-05-17T17:55:49,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-18,83.4,73.1,76.7,91.4,73.1,78.5,74.3,92.6,0.7,90.3,33.33,rain,0,0,9.2,2.7,37.4,1011,83.6,13.4,212,18.6,8,30,2025-05-18T05:57:38,2025-05-18T17:55:49,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-19,84.5,72.8,77.5,93.1,72.8,80.1,74.6,91.2,0.254,80.6,33.33,rain,0,0,6,2.9,307.7,1010.3,69,11.2,239.6,21,7,60,2025-05-19T05:57:44,2025-05-19T17:55:49,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-20,84.5,72.2,77.3,93.2,72.2,79.6,74.1,90.3,0.366,67.7,33.33,rain,0,0,9.6,3.6,33.4,1010.3,65.1,13.5,263.3,22.8,9,60,2025-05-20T05:57:50,2025-05-20T17:55:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-21,85.2,71.5,77.5,93.6,71.5,79.9,73.5,88.5,0.166,61.3,20.83,rain,0,0,9.4,4,44.9,1011.1,59.6,15,236.8,20.7,7,60,2025-05-21T05:57:57,2025-05-21T17:55:51,0.81,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
Manaus,2025-05-22,90.6,72.8,78.9,97.2,72.8,81.2,73.3,85.2,0.267,74.2,25,rain,0,0,8.3,5.4,84.5,1011.6,42.6,13.9,232.3,20.1,9,30,2025-05-22T05:58:04,2025-05-22T17:55:53,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-23,82.1,74.2,77,89.6,74.2,78.5,74.9,93.5,0.594,71,33.33,rain,0,0,8.5,3.8,62.7,1011.5,89.6,13.5,214.1,18.3,8,60,2025-05-23T05:58:12,2025-05-23T17:55:56,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-24,90.8,73.3,79.7,95.3,73.3,81.8,72,79.5,0.24,87.1,20.83,rain,0,0,12.5,5.6,83.1,1010.4,75.1,14.9,252.4,22.1,9,30,2025-05-24T05:58:20,2025-05-24T17:55:59,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Manaus,2025-05-25,81.4,72.4,76.5,89,72.4,77.6,74.2,92.7,0.946,80.6,33.33,rain,0,0,8.7,4.3,63.5,1011.1,100,8.4,207.6,18.5,7,60,2025-05-25T05:58:29,2025-05-25T17:56:03,0.95,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Manaus,2025-05-26,82.8,72.1,75.4,88.9,72.1,76,73.3,93.7,0.382,90.3,25,rain,0,0,7.6,3.4,97.5,1012,99,12.7,112.4,9.9,4,30,2025-05-26T05:58:38,2025-05-26T17:56:07,0,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
