name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mexico City,2025-05-12,78.9,58.2,67.9,78.9,58.2,67.9,39,39.6,0,6.5,0,,0,0,11,12.8,24.8,1015.9,48.1,15,346,29.7,10,10,2025-05-12T06:02:27,2025-05-12T19:03:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Mexico City,2025-05-13,81.6,62.3,71.5,79.5,62.3,71.3,40.5,34.8,0.433,6.5,4.17,rain,0,0,12.8,11.2,30,1014.2,31.9,14.9,311.5,26.9,10,10,2025-05-13T06:02:03,2025-05-13T19:04:04,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Mexico City,2025-05-14,83,64.7,73.3,80.4,64.7,72.8,32.6,25.2,0.004,6.5,4.17,rain,0,0,15.4,14.8,46.5,1012.6,2.4,15,356,30.8,10,10,2025-05-14T06:01:40,2025-05-14T19:04:27,0.57,Clear,Clear conditions throughout the day.,clear-day,
Mexico City,2025-05-15,84.6,65.9,75.3,81.7,65.9,74.6,26.7,18.6,0.016,16.1,4.17,rain,0,0,14.8,15.9,33.5,1011,5.7,15,361.2,31.2,10,10,2025-05-15T06:01:18,2025-05-15T19:04:51,0.61,Clear,Clear conditions throughout the day.,clear-day,
Mexico City,2025-05-16,84.1,66.8,75.5,81.2,66.8,74.7,35.5,25.3,0.335,48.4,8.33,rain,0,0,10.5,12.1,49.1,1010.8,40.9,15,360.1,31,10,10,2025-05-16T06:00:57,2025-05-16T19:05:14,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Mexico City,2025-05-17,84.5,66.6,75,81.5,66.6,74.3,39.5,31,0.012,58.1,4.17,rain,0,0,13.4,16.3,32.1,1010.5,38.6,15,349.8,30.5,10,10,2025-05-17T06:00:37,2025-05-17T19:05:38,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
Mexico City,2025-05-18,84.5,66.3,74.5,81.5,66.3,73.9,45.1,37.2,0.118,77.4,4.17,rain,0,0,8.3,10.1,99.1,1010.5,35.1,15,346.1,30.1,10,10,2025-05-18T06:00:18,2025-05-18T19:06:01,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
Mexico City,2025-05-19,84.5,66.8,74,81.6,66.8,73.5,46.7,40.1,0,80.6,0,rain,0,0,10.3,8.9,143.7,1011.1,43.1,15,345.6,29.9,10,10,2025-05-19T06:00:00,2025-05-19T19:06:25,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Mexico City,2025-05-20,84.3,66.5,71.3,81.5,66.5,71.1,46.6,43.1,0,90.3,0,rain,0,0,11.9,8.3,322.8,1012.8,74.9,14.9,308.3,26.7,10,10,2025-05-20T05:59:43,2025-05-20T19:06:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
Mexico City,2025-05-21,82.3,63.6,71.4,80,63.6,71.2,46.9,44.7,0,90.3,0,rain,0,0,14.3,13.6,33.1,1014.1,36.2,15,314.5,27.2,10,10,2025-05-21T05:59:27,2025-05-21T19:07:13,0.81,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,
Mexico City,2025-05-22,79.8,61.4,69.6,79.8,61.4,69.6,42.4,41,0,71,0,rain,0,0,12.5,16.6,20.9,1016.6,17,15,340.9,29.6,10,10,2025-05-22T05:59:12,2025-05-22T19:07:37,0.85,Rain,Clear conditions throughout the day with a chance of rain.,rain,
Mexico City,2025-05-23,79.2,61.2,69.4,79.2,61.2,69.4,35.5,31.5,0.008,58.1,8.33,rain,0,0,10.5,14.8,18.9,1016.8,22.5,15,355,30.7,10,10,2025-05-23T05:58:59,2025-05-23T19:08:01,0.88,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,
Mexico City,2025-05-24,78.3,60.3,68,78.3,60.3,68,35.5,32.8,0.012,51.6,8.33,rain,0,0,10.7,15.9,21.5,1017.1,23.3,15,352.4,30.4,10,10,2025-05-24T05:58:46,2025-05-24T19:08:24,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Mexico City,2025-05-25,77.1,59.8,68.2,77.1,59.8,68.2,30.3,26.4,0.043,61.3,8.33,rain,0,0,8.7,9.6,34.6,1015.2,25.6,15,354.5,30.7,10,10,2025-05-25T05:58:34,2025-05-25T19:08:48,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
Mexico City,2025-05-26,80,62.3,70.9,80,62.3,70.9,34.2,29.2,0.012,61.3,4.17,rain,0,0,11.9,10.7,30.5,1013.5,16.1,15,355.3,30.8,10,10,2025-05-26T05:58:24,2025-05-26T19:09:12,0,Rain,Clear conditions throughout the day with a chance of rain.,rain,
