name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2025-05-12,72.1,56.2,64,72.1,56.2,64,42.6,46.5,0,0,0,,0,0,17.2,11.4,141.7,1025.2,23.8,10,324.9,28,9,10,2025-05-12T05:41:40,2025-05-12T20:03:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KEWR,KLGA,F1417,KNYC"
New York,2025-05-13,69,58.9,64.3,69,58.9,64.3,55.5,73.6,0,50,0,rain,0,0,17.2,11.4,130,1022.2,80.3,7.4,88.9,7.6,3,10,2025-05-13T05:40:40,2025-05-13T20:04:49,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
New York,2025-05-14,65.9,60,62.7,65.9,60,62.7,57.1,81.8,0.04,67,16.67,rain,0,0,23,13.9,107.9,1017.8,91,2.6,77.9,6.7,2,10,2025-05-14T05:39:42,2025-05-14T20:05:47,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
New York,2025-05-15,69.5,61.4,64.8,69.5,61.4,64.8,58.8,80.9,0.039,67,4.17,rain,0,0,12.8,7.4,112.6,1012.5,80.3,4.7,198.3,17.1,7,10,2025-05-15T05:38:45,2025-05-15T20:06:45,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
New York,2025-05-16,72.6,62.7,67.5,72.6,62.7,67.5,60.1,77.5,0,55,0,rain,0,0,13.4,8.9,165.9,1008.6,73.5,8.3,166.9,14.4,4,30,2025-05-16T05:37:49,2025-05-16T20:07:43,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
New York,2025-05-17,74.4,65.6,70,74.4,65.6,70,59.8,70.5,0,55,0,rain,0,0,17,11.4,206.8,1006.5,58.5,11.3,152.3,13.1,5,10,2025-05-17T05:36:55,2025-05-17T20:08:40,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
New York,2025-05-18,74.7,65,69.5,74.7,65,69.5,55.4,61.8,0.071,51,8.33,rain,0,0,18.3,11.9,279.8,1007.1,37.8,15,287.5,24.8,8,10,2025-05-18T05:36:03,2025-05-18T20:09:36,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
New York,2025-05-19,73.1,62.3,67.6,73.1,62.3,67.6,52.6,59.2,0.016,18,4.17,rain,0,0,15.9,10.1,311.7,1013.7,40.7,15,350,30.4,8,10,2025-05-19T05:35:13,2025-05-19T20:10:32,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2025-05-20,74.2,59.1,65.4,74.2,59.1,65.4,48.6,55.8,0.008,54.8,4.17,rain,0,0,17.9,13.4,111,1020.8,49,15,334,28.9,9,10,2025-05-20T05:34:25,2025-05-20T20:11:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
New York,2025-05-21,65.4,57.6,61.1,65.4,57.6,61.1,49.3,65.8,0.048,58.1,8.33,rain,0,0,16.3,13.2,153.6,1021,70.3,15,322,27.6,9,10,2025-05-21T05:33:38,2025-05-21T20:12:21,0.81,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,
New York,2025-05-22,69.2,58.6,62.6,69.2,58.6,62.6,55.1,77,0.008,38.7,4.17,rain,0,0,15,10.3,165.2,1014.3,77.6,14.5,205.4,17.9,7,10,2025-05-22T05:32:53,2025-05-22T20:13:15,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2025-05-23,69,57.3,62.1,69,57.3,62.1,42.8,52.1,0.008,32.3,8.33,rain,0,0,17.9,17.2,319.2,1010.9,30.9,15,345.3,29.9,10,10,2025-05-23T05:32:09,2025-05-23T20:14:08,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
New York,2025-05-24,70.1,53.9,60.9,70.1,53.9,60.9,39,45.8,0.22,29,8.33,rain,0,0,26.8,18.3,256.3,1010,27.6,15,335.3,29,9,10,2025-05-24T05:31:28,2025-05-24T20:15:00,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
New York,2025-05-25,70.2,49.2,60.1,70.2,46.9,59.9,39.5,47.4,0.059,22.6,8.33,rain,0,0,23.9,15.4,257.3,1011,32.7,15,288.5,24.9,9,10,2025-05-25T05:30:48,2025-05-25T20:15:51,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2025-05-26,73.5,58.7,65.3,73.5,58.7,65.3,50.1,60.3,0.047,51.6,4.17,rain,0,0,29.3,17,215.6,1009.4,78.5,13.2,183.4,15.7,6,10,2025-05-26T05:30:10,2025-05-26T20:16:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
