name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2025-05-12,89.1,80,84.3,102,86.1,93.5,76.7,78.6,0.339,100,37.5,rain,0,,28.9,7.3,115.7,1007.3,86.7,6.8,268.3,23.1,9,60,2025-05-12T06:55:49,2025-05-12T19:06:14,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"WSAP,WSSS,WSSL,WMKJ"
Singapore,2025-05-13,85.7,83,84.6,94.3,90.3,92.5,74.6,72.2,0.462,87.1,70.83,rain,0,,7.2,7.8,162.9,1007.6,99.5,14.2,233,20,9,60,2025-05-13T06:55:47,2025-05-13T19:06:15,0.5,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Singapore,2025-05-14,85,81.4,83.4,92.9,87.1,90.6,74.5,74.6,0.327,67.7,29.17,rain,0,,8.7,10.5,210.5,1008.6,89.2,14.3,268.9,23.3,9,30,2025-05-14T06:55:45,2025-05-14T19:06:17,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-15,85.2,82.7,83.5,95,88.5,90.3,73.8,72.6,0.008,51.6,8.33,rain,0,,12.5,12.3,153.4,1008.5,89.7,14.9,169.8,14.7,8,60,2025-05-15T06:55:44,2025-05-15T19:06:19,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-16,85.7,82.7,84.5,94.5,89.4,92.5,74.7,72.6,0.442,58.1,62.5,rain,0,,10.3,10.1,151.6,1008.3,94.6,14,245.5,21.3,9,60,2025-05-16T06:55:43,2025-05-16T19:06:22,0.62,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Singapore,2025-05-17,85.4,82.7,84.6,94.5,89.1,92.6,74.7,72.5,0.304,51.6,29.17,rain,0,,9.2,9.2,169.1,1008.2,83.5,14.8,192.8,16.6,6,60,2025-05-17T06:55:43,2025-05-17T19:06:25,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-18,84.6,82.7,83.8,92.4,89.1,91,74.2,73,0.286,58.1,20.83,rain,0,,7.6,8.1,190.4,1008.7,90.7,12.1,186.9,15.9,7,30,2025-05-18T06:55:44,2025-05-18T19:06:29,0.69,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Singapore,2025-05-19,85,82.1,83.6,93,88.7,91.2,74.8,74.8,0.127,64.5,25,rain,0,,7.2,6.9,107.6,1008.6,75.1,14.8,226.1,19.8,8,30,2025-05-19T06:55:45,2025-05-19T19:06:34,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-20,85.6,83.6,84.7,95.4,91.2,93.2,75.3,73.5,0.11,51.6,20.83,rain,0,,9.6,9.2,162.7,1007.7,28.2,15,266,22.8,9,60,2025-05-20T06:55:47,2025-05-20T19:06:38,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-21,85.6,84.5,84.9,94,92.6,93.1,74.8,71.8,0.158,61.3,25,rain,0,,9.4,8.9,178.1,1007.6,84.9,14.8,208,18,8,60,2025-05-21T06:55:49,2025-05-21T19:06:44,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-22,85.6,84.5,85.1,94.3,91.7,93,74.2,70,0.079,48.4,12.5,rain,0,,8.4,7.9,202.8,1008.5,67.3,15,257.9,22.5,9,30,2025-05-22T06:55:52,2025-05-22T19:06:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Singapore,2025-05-23,85.1,79.6,81.4,93.8,79.6,86.1,73.5,77.2,0.382,38.7,16.67,rain,0,,20.8,22.8,204,1009.2,99.7,14,44.1,3.9,2,30,2025-05-23T06:55:55,2025-05-23T19:06:56,0.86,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
Singapore,2025-05-24,84.8,81.9,83.4,92.9,87.2,90,73.8,72.9,0.201,35.5,12.5,rain,0,,7.2,8.3,239.1,1008.2,86.4,14,236.6,20.4,8,30,2025-05-24T06:55:59,2025-05-24T19:07:03,0.9,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
Singapore,2025-05-25,85.4,83.6,84.6,93.6,90.1,92.1,74,70.7,0.04,29,12.5,rain,0,,7.6,8.5,189,1008.6,28.9,15,263.5,22.8,9,30,2025-05-25T06:56:04,2025-05-25T19:07:10,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Singapore,2025-05-26,85.7,83.7,84.8,95.4,91.4,93.3,75.1,72.8,0.123,29,20.83,rain,0,,8.5,8.1,138.2,1008.5,47.8,15,246.9,21.3,9,60,2025-05-26T06:56:09,2025-05-26T19:07:18,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
