name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2025-05-12,67.1,61.6,64,67.1,61.6,64,57.8,80.4,0.225,100,41.67,rain,0,0,21,14.7,285.3,1007.6,92.6,7.1,134.5,11.6,6,10,2025-05-12T04:38:26,2025-05-12T18:36:26,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"RJTY,RJTI,RJTF,RJTT,RJAA"
Tokyo,2025-05-13,74.6,63.6,68.2,74.6,63.6,68.2,51.6,56.6,0,0,0,,0,0,14.1,12.3,154.8,1017.2,83.8,15,259.2,22.4,10,10,2025-05-13T04:37:36,2025-05-13T18:37:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tokyo,2025-05-14,75.6,65,70.1,75.6,65,70.1,54.1,58,0,0,0,,0,0,12.1,9.4,166.8,1020.7,87.5,15,212.8,18.4,6,10,2025-05-14T04:36:47,2025-05-14T18:38:03,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tokyo,2025-05-15,78.2,65.6,70.9,78.2,65.6,70.9,54.7,58.5,0,9.7,0,,0,0,22.4,16.6,173.2,1020.2,72.8,15,306.3,26.4,10,10,2025-05-15T04:35:59,2025-05-15T18:38:51,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tokyo,2025-05-16,77.8,66.6,71.3,77.8,66.6,71.3,55.9,59.8,0.032,64.5,16.67,rain,0,0,27.3,16.1,181.2,1018.5,98.5,14.7,258.5,22.3,9,10,2025-05-16T04:35:13,2025-05-16T18:39:39,0.62,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Tokyo,2025-05-17,80.5,67.7,72.9,81.6,67.7,73,62.4,71.7,0.451,71,50,rain,0,0,39.4,25.7,202.8,1010,61.2,13.3,179,15.3,8,10,2025-05-17T04:34:28,2025-05-17T18:40:26,0.65,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,
Tokyo,2025-05-18,76.2,67.9,71.8,76.2,67.9,71.8,59,64.6,0.028,22.6,4.17,rain,0,0,22.4,17.4,167.5,1012.2,92.9,14.9,219.5,19.2,6,10,2025-05-18T04:33:45,2025-05-18T18:41:13,0.69,Overcast,Cloudy skies throughout the day.,cloudy,
Tokyo,2025-05-19,72.9,67.6,70.5,72.9,67.6,70.5,64,80.1,0.06,64.5,20.83,rain,0,0,54.4,29.9,203.6,1004.3,100,14.7,30.8,2.4,1,10,2025-05-19T04:33:04,2025-05-19T18:42:00,0.72,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Tokyo,2025-05-20,78.7,68.3,73.1,78.7,68.3,73.1,60.3,65.1,0.142,45.2,12.5,rain,0,0,57.7,30.9,153.4,1003.3,100,14.7,136.6,12.2,4,10,2025-05-20T04:32:23,2025-05-20T18:42:46,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Tokyo,2025-05-21,69.2,64.1,66.3,69.2,64.1,66.3,55.5,68.3,0.008,9.7,8.33,rain,0,0,20.4,15,100,1015.7,98.8,15,75.6,6.6,3,10,2025-05-21T04:31:45,2025-05-21T18:43:31,0.79,Overcast,Cloudy skies throughout the day.,cloudy,
Tokyo,2025-05-22,76.2,65.6,70,76.2,65.6,70,58.8,68.3,0.012,19.4,12.5,rain,0,0,12.5,11.6,145.9,1016.6,99.8,14.8,210.9,18.3,7,10,2025-05-22T04:31:08,2025-05-22T18:44:16,0.83,Overcast,Cloudy skies throughout the day.,cloudy,
Tokyo,2025-05-23,66.1,58.1,61.2,66.1,58.1,61.2,49.3,65.2,0.181,22.6,25,rain,0,0,16.6,14.8,61.5,1017.9,100,13.3,33.1,3,1,10,2025-05-23T04:30:32,2025-05-23T18:45:01,0.86,Overcast,Cloudy skies throughout the day.,cloudy,
Tokyo,2025-05-24,64.3,57.5,60.8,64.3,57.5,60.8,55,81.3,0.091,38.7,25,rain,0,0,14.1,11.4,32.8,1012.1,100,14.7,34.9,3,1,10,2025-05-24T04:29:58,2025-05-24T18:45:45,0.9,Overcast,Cloudy skies throughout the day.,cloudy,
Tokyo,2025-05-25,72.6,60.3,65.3,72.6,60.3,65.3,57.7,77.8,0.917,32.3,16.67,rain,0,0,11.9,9.6,83.4,1016.5,99.4,11.6,165.8,14.1,7,10,2025-05-25T04:29:26,2025-05-25T18:46:28,0.93,Overcast,Cloudy skies throughout the day.,cloudy,
Tokyo,2025-05-26,75.1,65,69.6,75.1,65,69.6,59.7,71.2,0,32.3,0,,0,0,15,13.2,178.3,1019.3,100,15,188,16.2,6,10,2025-05-26T04:28:56,2025-05-26T18:47:11,0.97,Overcast,Cloudy skies throughout the day.,cloudy,
