name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Abu Dhabi,2025-05-12,101,80.3,88.7,105.6,84.6,93.1,68.7,56.5,0,0,0,,0,,20.1,15.7,16.1,1004.1,0,8.8,330.5,28.7,10,15,2025-05-12T05:40:41,2025-05-12T18:57:29,0.5,Clear,Clear conditions throughout the day.,clear-day,"OMAD,OMAA"
Abu Dhabi,2025-05-13,91.7,84.5,86.8,96.9,86.2,92.2,70.3,58.9,0,0,0,,0,,19.2,14.8,37.9,1004.3,0,15,334.8,28.8,10,30,2025-05-13T05:40:10,2025-05-13T18:57:59,0.52,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-14,90.2,84.8,87.1,99.9,86.7,93.5,71.3,60.1,0,0,0,,0,,21.5,16.3,48.3,1005,0,15,333.5,28.8,10,30,2025-05-14T05:39:40,2025-05-14T18:58:29,0.56,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-15,88.1,85.7,86.8,95.2,88.6,92.1,70.3,58.4,0,0,0,,0,,18.8,14.3,289.7,1005.5,0,15,333.6,28.8,10,30,2025-05-15T05:39:11,2025-05-15T18:58:59,0.59,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-16,88.2,84.1,86.4,95.8,90.5,93,72.2,63.1,0,0,0,,0,,30.9,18.1,262.9,1004.5,0,15,336.8,28.9,10,30,2025-05-16T05:38:42,2025-05-16T18:59:29,0.63,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-17,85,83.4,84.5,94.2,88.6,92.6,74.7,72.8,0,0,0,,0,,31.1,18.1,289,1003.3,3.6,15,336.3,29.1,10,30,2025-05-17T05:38:16,2025-05-17T18:59:59,0.66,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-18,84.3,83.3,83.8,91.9,87.6,89.6,72.3,68.7,0,0,0,,0,,19.8,13,270.9,1002.9,20,15,338.9,29.4,10,15,2025-05-18T05:37:50,2025-05-18T19:00:29,0.7,Clear,Clearing in the afternoon.,clear-day,
Abu Dhabi,2025-05-19,86.4,83.2,84.6,93.7,87.8,90,71.2,64.2,0,0,0,,0,,11.2,10.1,291.1,1002.6,18.5,15,339,29.4,10,5,2025-05-19T05:37:25,2025-05-19T19:00:59,0.73,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-20,88.1,84.6,86.4,96.3,92.6,94.4,73.8,66.2,0,0,0,,0,,24.4,15.4,298.2,1001.9,55.8,15,329.5,28.5,10,15,2025-05-20T05:37:02,2025-05-20T19:01:29,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Abu Dhabi,2025-05-21,87.5,85.7,86.6,97.9,94.3,96.2,75.3,69.1,0,0,0,,0,,25.3,15.4,299.6,1000.2,0,15,338.9,29.1,10,15,2025-05-21T05:36:40,2025-05-21T19:01:58,0.8,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-22,88.1,85.8,86.5,99.2,94.2,96.9,76,71.5,0,0,0,,0,,21,15.4,291.5,1000.3,0,15,338.4,29.4,10,38,2025-05-22T05:36:19,2025-05-22T19:02:28,0.83,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-23,87.5,85.2,85.9,98.7,95.1,96.7,76.7,74.1,0,0,0,,0,,19,15.4,296.4,999.4,0,15,341.1,29.7,10,30,2025-05-23T05:35:59,2025-05-23T19:02:57,0.87,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-24,88.4,85.7,87.1,99.4,93.3,96.6,75,67.6,0,0,0,,0,,13,11.2,352.4,999,0,15,340.8,29.7,10,30,2025-05-24T05:35:40,2025-05-24T19:03:26,0.9,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-25,88.4,85.9,87.2,98.3,95,96.6,74.9,67.2,0,0,0,,0,,12.1,11.4,322.4,998.4,2.1,15,338.3,29.4,10,15,2025-05-25T05:35:22,2025-05-25T19:03:55,0.94,Clear,Clear conditions throughout the day.,clear-day,
Abu Dhabi,2025-05-26,87.7,84.8,86.2,97.9,95.4,96.7,76.3,72.5,0,0,0,,0,,16.3,14.1,308.8,998.3,8.1,15,331.5,29.1,10,15,2025-05-26T05:35:06,2025-05-26T19:04:24,0.97,Clear,Clear conditions throughout the day.,clear-day,
