name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Astana,2025-05-12,77.6,49.9,64.3,77.6,46.3,64,48.7,61.7,0,0,0,,0,0,25.5,13.4,195.2,1018.6,79.7,8.8,276.2,23.9,8,10,2025-05-12T04:28:38,2025-05-12T19:53:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,UACC
Astana,2025-05-13,84.6,60.9,73.6,81.7,60.9,72.9,41.1,33.5,0,0,0,,0,0,28,11.6,219.1,1013.4,64.1,15,281,24.3,7,10,2025-05-13T04:27:06,2025-05-13T19:55:18,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-14,90.4,64.5,78.1,86.4,64.5,76.5,38.7,25.8,0,0,0,,0,0,16.1,12.5,215,1011,58.1,15,309.3,26.6,9,10,2025-05-14T04:25:35,2025-05-14T19:56:47,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-15,94.9,63.2,81.2,90.3,63.2,79.2,40.4,26.1,0,3.2,0,,0,0,20.4,14.5,218.9,1011.2,70.8,15,295.3,25.5,8,10,2025-05-15T04:24:07,2025-05-15T19:58:16,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-16,81.4,64.8,75.1,81.5,64.8,75.2,54.1,49,0,3.2,0,,0,0,27.5,19,29.9,1012.7,91.7,15,240.7,20.6,8,10,2025-05-16T04:22:40,2025-05-16T19:59:44,0.62,Overcast,Cloudy skies throughout the day.,cloudy,
Astana,2025-05-17,82.5,58.2,70,80.9,58.2,69.9,51.3,55.1,0,22.6,0,,0,0,38.7,23.7,59.1,1009.2,96.4,15,242.4,20.7,7,10,2025-05-17T04:21:16,2025-05-17T20:01:11,0.66,Overcast,Cloudy skies throughout the day.,cloudy,
Astana,2025-05-18,80.5,60.5,70.5,79.6,60.5,70.4,46.4,43.6,0,35.5,0,,0,0,33.2,23.7,215.7,998.3,39.7,15,322.6,27.9,9,10,2025-05-18T04:19:54,2025-05-18T20:02:36,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Astana,2025-05-19,62.5,53.7,58.4,62.5,53.7,58.4,50.3,74.6,0.17,12.9,20.83,rain,0,0,21.2,15.9,288.7,1002.8,96.1,12.1,119.4,10.2,5,10,2025-05-19T04:18:34,2025-05-19T20:04:01,0.73,Overcast,Cloudy skies throughout the day.,cloudy,
Astana,2025-05-20,72.8,49.4,62,72.8,45.6,61.9,43.3,53.9,0,6.5,0,,0,0,17.2,10.9,314.7,1013.6,22.8,15,328.8,28.2,9,10,2025-05-20T04:17:16,2025-05-20T20:05:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-21,80.3,59.8,69.4,79.9,59.8,69.4,46.1,44.6,0.004,19.4,4.17,rain,0,0,34,23.7,226.2,1012,45.6,15,286.5,25.2,9,10,2025-05-21T04:16:00,2025-05-21T20:06:47,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Astana,2025-05-22,79.4,57.1,69,79.4,57.1,69,49.4,51.9,0,16.1,0,,0,0,34.2,16.1,142.7,1009.3,70.9,15,271.3,23.4,7,10,2025-05-22T04:14:47,2025-05-22T20:08:08,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-23,68.3,55.5,62.7,68.3,55.5,62.7,44.5,53.4,0.059,16.1,29.17,rain,0,0,40.5,25.3,261.3,1006,54.1,14.8,259.1,22.2,7,10,2025-05-23T04:13:36,2025-05-23T20:09:28,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-24,69.3,48.6,59.6,69.3,44.4,59.4,38.5,48.3,0,16.1,0,,0,0,24.8,13,253.3,1016.3,13.4,15,342.9,29.4,9,10,2025-05-24T04:12:28,2025-05-24T20:10:46,0.9,Clear,Clear conditions throughout the day.,clear-day,
Astana,2025-05-25,67.2,56.9,61.5,67.2,56.9,61.5,38.5,43,0.004,6.5,4.17,rain,0,0,32,20.1,266.1,1012.3,22.9,15,343.5,29.4,9,10,2025-05-25T04:11:21,2025-05-25T20:12:03,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2025-05-26,74.9,52.2,63.9,74.9,52.2,63.9,39.2,42,0,12.9,0,,0,0,16.1,12.8,246,1014.5,68.7,15,332.3,28.5,9,10,2025-05-26T04:10:18,2025-05-26T20:13:18,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
