name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Barcelona,2025-05-12,67,51.8,61.3,67,51.8,61.3,53.9,77.4,0.004,0,4.17,rain,0,0,20.8,10.8,182.4,1013.3,30.2,9.9,316.2,27.1,9,10,2025-05-12T06:35:30,2025-05-12T21:00:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,D1298,LEGE,LELL"
Barcelona,2025-05-13,65.6,59.6,63.2,65.6,59.6,63.2,57.7,82.3,0,3.2,0,,0,0,11.9,7.8,132.6,1014,62.4,15,327.7,28.3,9,10,2025-05-13T06:34:28,2025-05-13T21:01:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-14,65.2,61.1,63.4,65.2,61.1,63.4,58.9,85.3,0,35.5,0,,0,0,15.7,11,66.5,1014.8,90.9,15,300.3,25.7,9,10,2025-05-14T06:33:27,2025-05-14T21:02:38,0.56,Overcast,Cloudy skies throughout the day.,cloudy,
Barcelona,2025-05-15,70.2,61.6,66.1,70.2,61.6,66.1,56.3,71.9,0,22.6,0,,0,0,17.2,10.1,243.6,1013.8,79,15,238.9,20.5,8,10,2025-05-15T06:32:28,2025-05-15T21:03:37,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-16,70.4,64.7,66.9,70.4,64.7,66.9,57.7,72.5,0,16.1,0,rain,0,0,18.8,13.4,199.8,1013.5,14.5,14.7,332.5,28.7,10,10,2025-05-16T06:31:31,2025-05-16T21:04:37,0.63,Clear,Clear conditions throughout the day.,clear-day,
Barcelona,2025-05-17,72.4,62.1,66.3,72.4,62.1,66.3,54.4,66.7,0.052,19.4,20.83,rain,0,0,11.9,11.9,213.3,1017.7,62.3,14.4,255.5,21.9,9,10,2025-05-17T06:30:35,2025-05-17T21:05:35,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-18,74.9,62.1,68.1,74.9,62.1,68.1,53.1,60.2,0,9.7,0,,0,0,14.3,13,214.5,1018.1,41.1,15,332.5,28.8,9,10,2025-05-18T06:29:42,2025-05-18T21:06:33,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Barcelona,2025-05-19,71.7,63.1,67.2,71.7,63.1,67.2,51.6,58.3,0,12.9,0,,0,0,14.5,10.1,85.2,1017.5,54.1,15,258.1,22.5,8,10,2025-05-19T06:28:49,2025-05-19T21:07:30,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-20,79.8,63.6,70.7,79.8,63.6,70.7,49.9,49.2,0.004,16.1,4.17,rain,0,0,19.9,12.1,206,1013.1,43.2,15,314.6,27.3,9,10,2025-05-20T06:27:59,2025-05-20T21:08:27,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Barcelona,2025-05-21,71.3,63.4,67,71.3,63.4,67,57.4,71.9,0.012,16.1,12.5,rain,0,0,15.2,12.3,187.8,1016.1,33.5,15,262.9,22.8,8,10,2025-05-21T06:27:10,2025-05-21T21:09:23,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-22,73.7,63.1,68.5,73.7,63.1,68.5,57.8,69.4,0,16.1,0,,0,0,8.7,8.9,176.9,1014.8,74.9,15,312.4,27.3,8,10,2025-05-22T06:26:24,2025-05-22T21:10:18,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-23,76.2,64.8,70.1,76.2,64.8,70.1,58.2,66.9,0,16.1,0,,0,0,10.5,8.7,159.5,1014.4,47.4,15,304.8,26.4,9,10,2025-05-23T06:25:39,2025-05-23T21:11:12,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-24,75.1,66.1,70.7,75.1,66.1,70.7,57.1,62.6,0,16.1,0,,0,0,15.2,10.3,196.5,1013.3,48.9,15,317.6,27.9,9,10,2025-05-24T06:24:56,2025-05-24T21:12:05,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-25,75.5,66.8,70.7,75.5,66.8,70.7,59.3,68,0,16.1,0,,0,0,11.6,10.1,160,1012,79.7,14.5,295.5,25.2,8,10,2025-05-25T06:24:14,2025-05-25T21:12:58,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Barcelona,2025-05-26,75.8,66.1,70.9,75.8,66.1,70.9,57.3,62.7,0,22.6,0,,0,0,6.5,7.4,113.6,1012.3,89.1,14.5,282.6,24.3,8,10,2025-05-26T06:23:35,2025-05-26T21:13:49,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
