name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Cairo,2025-05-12,88.6,69.7,78.6,85.9,69.7,77.7,56.1,49.9,0,0,0,,0,0,24.6,17.2,296.2,1009.7,39,9.7,314.2,27.1,10,10,2025-05-12T06:03:33,2025-05-12T19:39:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,remote"
Cairo,2025-05-13,95.6,69.9,81.6,92.3,69.9,80.4,53.1,40.5,0,0,0,,0,0,34,12.1,267,1008.2,25.3,15,248,21.3,9,10,2025-05-13T06:02:53,2025-05-13T19:40:26,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-14,85.4,65.6,75.2,83.7,65.6,74.7,55.7,54.4,0,0,0,,0,0,23,8.5,340.8,1013,41.5,15,320.5,27.6,10,10,2025-05-14T06:02:15,2025-05-14T19:41:04,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-15,89,63.6,77.1,85.5,63.6,75.9,50.1,43.9,0,0,0,,0,0,16.3,4.9,20.1,1015.2,27.3,15,320,27.6,10,10,2025-05-15T06:01:37,2025-05-15T19:41:43,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-16,102.6,69,86.6,97.7,69,84.1,46,29.1,0,0,0,,0,0,16.3,6,89.9,1012.1,28.9,15,314.4,27.1,10,10,2025-05-16T06:01:01,2025-05-16T19:42:21,0.63,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Cairo,2025-05-17,110.4,83.4,94.3,110.4,80.9,90.5,38.7,15.6,0,0,0,,0,0,24.4,25.9,342,1009.3,68.3,15,298.1,25.8,9,10,2025-05-17T06:00:26,2025-05-17T19:42:59,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-18,100.8,76,85,96.2,76,83.4,50.4,32.9,0,0,0,,0,0,22.6,23,12.5,1012.2,74.3,15,290.9,25.2,9,10,2025-05-18T05:59:53,2025-05-18T19:43:36,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-19,91.8,67.9,77.6,87.8,67.9,76.5,50.7,44.2,0,3.2,0,,0,0,21.3,22.4,4.8,1015.1,66.4,15,300,25.8,9,10,2025-05-19T05:59:21,2025-05-19T19:44:14,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-20,89.1,64.7,75.2,85.2,64.7,74.2,44.2,37.7,0,0,0,,0,0,22.6,21.3,3.1,1014.5,29.2,15,313.5,27.3,9,10,2025-05-20T05:58:50,2025-05-20T19:44:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cairo,2025-05-21,91.7,63.9,76.3,87.4,63.9,75,47.6,41.4,0,0,0,,0,0,23.9,22.6,5.8,1013.1,0,15,322.4,27.9,10,10,2025-05-21T05:58:20,2025-05-21T19:45:28,0.8,Clear,Clear conditions throughout the day.,clear-day,
Cairo,2025-05-22,94.2,66.5,78.9,89.7,66.5,77.4,49.9,43.5,0,0,0,,0,0,24.4,20.4,27.4,1013,0,15,322.1,27.9,10,10,2025-05-22T05:57:52,2025-05-22T19:46:05,0.84,Clear,Clear conditions throughout the day.,clear-day,
Cairo,2025-05-23,98,67.7,81.2,93.5,67.7,79.5,47.6,34.6,0,0,0,,0,0,27.1,23.5,27.6,1012.4,16.7,15,313.9,27,9,10,2025-05-23T05:57:25,2025-05-23T19:46:41,0.87,Clear,Clear conditions throughout the day.,clear-day,
Cairo,2025-05-24,102.3,73.1,86.6,97.1,73.1,84.2,47.8,31.2,0,0,0,,0,0,26.2,20.1,44.5,1012.1,0,15,318,27.4,10,10,2025-05-24T05:57:00,2025-05-24T19:47:17,0.9,Clear,Clear conditions throughout the day.,clear-day,
Cairo,2025-05-25,104.1,81.6,91.8,98.6,79.9,88.2,40.8,18.1,0,0,0,,0,0,24.6,22.4,47.4,1010.7,0,15,319.1,27.4,10,10,2025-05-25T05:56:36,2025-05-25T19:47:52,0.94,Clear,Clear conditions throughout the day.,clear-day,
Cairo,2025-05-26,103.6,78.7,89.7,98.5,78.7,86.7,44.1,22.1,0,0,0,,0,0,22.6,23.3,25.7,1010.4,0,15,318.4,27.4,9,10,2025-05-26T05:56:13,2025-05-26T19:48:27,0.97,Clear,Clear conditions throughout the day.,clear-day,
