name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Cape Town,2025-05-12,64.3,51.7,59.2,64.3,51.7,59.2,48.5,68.3,0,0,0,,0,0,8.7,10.3,356.7,1025.9,82.6,12.4,134.6,11.6,6,10,2025-05-12T07:29:31,2025-05-12T17:55:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,FACT,F6172"
Cape Town,2025-05-13,69.2,57.5,62,69.2,57.5,62,48.4,62.6,0,0,0,,0,0,8.1,5.8,160.4,1023.3,35.9,15,158.5,13.7,6,10,2025-05-13T07:30:16,2025-05-13T17:54:53,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Cape Town,2025-05-14,67,58.2,61.7,67,58.2,61.7,53.8,76.2,0,0,0,,0,0,13,8.5,171.7,1021.2,0,15,158.2,13.6,6,10,2025-05-14T07:31:00,2025-05-14T17:54:09,0.56,Clear,Clear conditions throughout the day.,clear-day,
Cape Town,2025-05-15,77.3,60.2,67.4,77.3,60.2,67.4,45.6,48.2,0,0,0,,0,0,6,4.9,152.6,1018,3.1,15,155.3,13.3,6,10,2025-05-15T07:31:44,2025-05-15T17:53:27,0.59,Clear,Clear conditions throughout the day.,clear-day,
Cape Town,2025-05-16,79.2,64.8,71,79.2,64.8,71,43.9,39.6,0,0,0,,0,0,11,8.5,336.1,1014.6,37.5,15,151.2,13.1,6,10,2025-05-16T07:32:28,2025-05-16T17:52:46,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cape Town,2025-05-17,68.8,61.6,64.8,68.8,61.6,64.8,55.4,72.3,0,16.1,0,,0,0,6.7,5.8,158.3,1013.7,72.2,15,121.6,10.2,5,10,2025-05-17T07:33:11,2025-05-17T17:52:06,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cape Town,2025-05-18,68.3,60.9,65,68.3,60.9,65,51.9,63.9,0.02,22.6,8.33,rain,0,0,24.6,11.4,334.2,1009.8,41.4,14.4,145.9,12.6,6,10,2025-05-18T07:33:54,2025-05-18T17:51:28,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Cape Town,2025-05-19,64.5,59.4,61.5,64.5,59.4,61.5,54,77.2,0.197,41.9,25,rain,0,0,25.1,12.5,313.1,1014.8,55.6,13.1,127.6,11.1,5,10,2025-05-19T07:34:37,2025-05-19T17:50:52,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Cape Town,2025-05-20,63.8,58.7,60.7,63.8,58.7,60.7,50.9,70.4,0.032,41.9,20.83,rain,0,0,13.4,7.2,182.2,1022,52.9,15,76.4,6.6,3,10,2025-05-20T07:35:19,2025-05-20T17:50:17,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cape Town,2025-05-21,66.1,57.1,60.7,66.1,57.1,60.7,50.3,69.2,0,12.9,0,,0,0,19,10.5,175,1022.2,25.3,15,142.1,12.3,6,10,2025-05-21T07:36:01,2025-05-21T17:49:43,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Cape Town,2025-05-22,67,57.1,60.6,67,57.1,60.6,50.8,70.5,0,3.2,0,,0,0,22.8,15.2,175.9,1020.1,8.5,15,146.3,12.6,6,10,2025-05-22T07:36:43,2025-05-22T17:49:11,0.84,Clear,Clear conditions throughout the day.,clear-day,
Cape Town,2025-05-23,64.5,57.1,60.1,64.5,57.1,60.1,53.2,78.3,0,3.2,0,,0,0,19.2,11.4,177.4,1020.4,0.2,15,144.8,12.6,6,10,2025-05-23T07:37:24,2025-05-23T17:48:40,0.87,Clear,Clear conditions throughout the day.,clear-day,
Cape Town,2025-05-24,64.7,56.9,60.4,64.7,56.9,60.4,52.8,76.8,0,6.5,0,,0,0,17.5,10.3,171.1,1021,3.3,15,141.8,12.6,5,10,2025-05-24T07:38:05,2025-05-24T17:48:11,0.91,Clear,Clear conditions throughout the day.,clear-day,
Cape Town,2025-05-25,66.1,58.2,60.7,66.1,58.2,60.7,53.1,76.1,0,16.1,0,,0,0,21,15.4,167.3,1018.5,11.3,15,126.4,11.1,5,10,2025-05-25T07:38:45,2025-05-25T17:47:43,0.94,Clear,Clear conditions throughout the day.,clear-day,
Cape Town,2025-05-26,63.6,56.2,59.4,63.6,56.2,59.4,50.2,72.4,0,25.8,0,,0,0,16.1,13.9,165.7,1017.4,1.6,15,141.4,12,5,10,2025-05-26T07:39:24,2025-05-26T17:47:17,0.98,Clear,Clear conditions throughout the day.,clear-day,
