name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Edmonton,2025-05-12,58.6,50.3,54.8,58.6,50.3,54.8,43.3,65.5,0.004,93,4.17,rain,0,0,18.8,11.6,2,1000.9,91.7,7,107.3,9.2,3,10,2025-05-12T05:37:34,2025-05-12T21:24:19,0.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"CZVL,CYEG,CXEG,CXEC,AU867"
Edmonton,2025-05-13,67.7,44.9,57.5,67.7,41.4,56.6,38.7,53.6,0.004,93,4.17,rain,0,0,14.5,8.9,299.9,1004.6,38.6,9.7,264.7,22.9,7,10,2025-05-13T05:35:52,2025-05-13T21:26:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
Edmonton,2025-05-14,65.4,48.5,57.8,65.4,46.8,57.6,37.3,48.1,0,58,0,rain,0,0,18.1,11.6,304.3,1006.5,68.8,10,230,19.8,7,10,2025-05-14T05:34:12,2025-05-14T21:27:39,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edmonton,2025-05-15,58.2,41.6,50,58.2,37,47.8,31.3,50.8,0,58,0,rain,0,0,15.4,9.8,333.9,1014.2,49.5,13.6,212.5,18.2,6,10,2025-05-15T05:32:34,2025-05-15T21:29:18,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edmonton,2025-05-16,62.5,40.2,52.5,62.5,37.1,51.4,31.4,46.6,0.048,27,12.5,rain,0,0,13.2,8.1,139.1,1009.8,55.5,15,331.5,28.6,9,10,2025-05-16T05:30:59,2025-05-16T21:30:56,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edmonton,2025-05-17,61.8,44.5,54.2,61.8,42.2,53.5,34,47.9,0,53,0,rain,0,0,12.1,7.4,129.3,1008.6,68.7,15,249.1,21.3,7,10,2025-05-17T05:29:25,2025-05-17T21:32:32,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edmonton,2025-05-18,63.8,43.2,54.5,63.8,41.2,53.8,33.7,47.3,0.051,53,4.17,rain,0,0,12.8,8.3,130.7,1013.8,55.1,15,298.3,25.8,8,10,2025-05-18T05:27:54,2025-05-18T21:34:07,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edmonton,2025-05-19,64.7,44.3,55.2,64.7,41.3,54.3,34.6,47.9,0,53,0,rain,0,0,22.1,8.5,151.3,1013,46.6,15,283.4,24.2,8,10,2025-05-19T05:26:25,2025-05-19T21:35:41,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edmonton,2025-05-20,63.6,46.5,55.2,63.6,42.1,53.8,35,47.1,0.016,48.4,8.33,rain,0,0,25.1,17.2,157.3,1007.6,90.6,15,252.6,21.7,7,10,2025-05-20T05:24:59,2025-05-20T21:37:14,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Edmonton,2025-05-21,59.6,47.7,51.7,59.6,43.5,49.7,43.6,75.1,0.016,32.3,4.17,rain,0,0,18.3,11.4,323,1013.3,82.8,15,132.9,11.4,5,10,2025-05-21T05:23:35,2025-05-21T21:38:45,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edmonton,2025-05-22,67.4,44.5,56.4,67.4,43.2,55.9,41.1,59.6,0,35.5,0,,0,0,16.8,10.5,145.3,1018.3,54.9,15,295.6,25.6,8,10,2025-05-22T05:22:13,2025-05-22T21:40:15,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edmonton,2025-05-23,75.3,51.5,62.8,75.3,51.5,62.8,44.5,52.7,0.398,22.6,4.17,rain,0,0,21.9,10.7,117.5,1013,74.2,15,304.1,26.2,9,10,2025-05-23T05:20:54,2025-05-23T21:41:43,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edmonton,2025-05-24,72.9,49.2,62,72.9,46.6,61.8,45,57.7,0.083,25.8,8.33,rain,0,0,34.9,15.7,27.3,1011.3,48.1,15,324.4,28,8,10,2025-05-24T05:19:37,2025-05-24T21:43:10,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edmonton,2025-05-25,71.1,55.7,64,71.1,55.7,64,42,45.6,0.016,22.6,4.17,rain,0,0,43.4,20.1,243.5,997.6,65.7,15,313.5,27.3,9,10,2025-05-25T05:18:24,2025-05-25T21:44:35,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edmonton,2025-05-26,63.1,50.4,55.7,63.1,50.4,55.7,31.2,39.9,0.11,29,8.33,rain,0,0,40.3,24.8,311,1000.3,100,15,237.6,20.3,7,10,2025-05-26T05:17:12,2025-05-26T21:45:58,0,Overcast,Cloudy skies throughout the day.,cloudy,
