name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ghana,2025-05-12,87.7,80.5,84.2,99.7,86.9,92.6,75.6,75.8,0.008,100,8.33,rain,0,,16.3,15,208.9,1012,22.8,11.3,295.3,25.6,10,60,2025-05-12T05:46:28,2025-05-12T18:08:18,0.5,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,"DGAA,remote"
Ghana,2025-05-13,86.8,81.8,84.2,95.6,88.5,92.1,74.8,73.7,0.088,48.4,50,rain,0,,16.6,15.2,217.3,1010.8,61.7,15,266.2,23,9,60,2025-05-13T05:46:21,2025-05-13T18:08:25,0.53,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
Ghana,2025-05-14,87,81.6,84.4,95.8,87.7,92.3,74.7,72.9,0.008,48.4,8.33,rain,0,,17,15.2,214.8,1010.4,38.1,15,294.6,25.3,10,60,2025-05-14T05:46:14,2025-05-14T18:08:31,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ghana,2025-05-15,87,82.3,84.6,96,89.5,93.1,75.4,74.2,0.008,22.6,8.33,rain,0,,16.1,14.5,205.7,1010.1,55.8,15,294.8,25.3,10,60,2025-05-15T05:46:08,2025-05-15T18:08:38,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Ghana,2025-05-16,87.2,81.6,84.4,94.8,87.8,91.8,74.2,71.8,0.142,41.9,25,rain,0,,14.3,14.1,221,1010.3,72,14.7,283,24.3,9,60,2025-05-16T05:46:03,2025-05-16T18:08:46,0.63,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
Ghana,2025-05-17,87.3,80.3,83.7,95,85,90.7,74.2,73.4,0.177,45.2,12.5,rain,0,,18.6,15.4,229.9,1009.6,63.6,13.4,287.4,24.9,9,60,2025-05-17T05:45:59,2025-05-17T18:08:54,0.67,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
Ghana,2025-05-18,81.2,75.6,78.7,87.4,75.6,79.6,71,77.3,0.339,67.7,20.83,rain,0,,13,9.4,260.5,1010.9,89.2,14,65.5,5.9,3,30,2025-05-18T05:45:55,2025-05-18T18:09:02,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ghana,2025-05-19,84.8,77.6,81.8,92.1,77.6,86.3,73.8,77.2,0.055,67.7,16.67,rain,0,,17.2,15.2,234.3,1010.6,44.5,14.2,289.5,24.9,9,30,2025-05-19T05:45:52,2025-05-19T18:09:11,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ghana,2025-05-20,85.4,78.5,82.5,94.3,78.5,88.4,74.9,78.1,0.036,41.9,12.5,rain,0,,17,16.8,227.7,1010.6,12.4,15,286.3,25.1,9,60,2025-05-20T05:45:49,2025-05-20T18:09:21,0.75,Clear,Clear conditions throughout the day with storms possible.,clear-day,
Ghana,2025-05-21,85.6,81.4,83.3,93.1,87.2,90.5,74.8,75.7,0.012,29,8.33,rain,0,,13.4,11.6,198.5,1010,47.9,15,209.4,18,8,60,2025-05-21T05:45:48,2025-05-21T18:09:30,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Ghana,2025-05-22,86.1,81.8,83.7,94.2,88.3,91.1,74.6,74.3,0.024,45.2,12.5,rain,0,,12.1,11.4,189,1010.5,64.6,15,273,23.6,8,30,2025-05-22T05:45:47,2025-05-22T18:09:40,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ghana,2025-05-23,85.6,80.7,83.4,94.1,86.3,90.9,75,76.2,0.004,64.5,4.17,rain,0,,12.5,13.2,215.4,1011,21.8,15,285.5,24.8,8,60,2025-05-23T05:45:46,2025-05-23T18:09:51,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ghana,2025-05-24,85.9,81.6,83.6,94.4,88.2,91.3,75.2,76.2,0.063,51.6,12.5,rain,0,,18.1,17.2,221.6,1010.6,66.5,15,252.3,21.9,8,60,2025-05-24T05:45:46,2025-05-24T18:10:01,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ghana,2025-05-25,85.7,79.4,82.1,93.8,79.4,87.9,74.4,77.8,0.075,51.6,12.5,rain,0,,21,18.1,230.5,1010.9,93.8,15,223.3,19.2,8,30,2025-05-25T05:45:47,2025-05-25T18:10:12,0.94,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Ghana,2025-05-26,82.5,78.8,80.1,87.6,78.8,83,73.4,80.1,0.335,61.3,20.83,rain,0,,12.7,9.4,250.8,1011.8,83.4,14.8,58.4,5.1,3,30,2025-05-26T05:45:49,2025-05-26T18:10:24,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
