name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Los Angeles,2025-05-12,72.1,61.1,65.6,72.1,61.1,65.6,53.2,66,0,5,0,,0,0,20.8,15,208.9,1012.6,58.5,9.9,286.1,24.7,10,10,2025-05-12T05:53:26,2025-05-12T19:45:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,KSMO,KLAX,F1624,KLGB"
Los Angeles,2025-05-13,69,56.9,62.2,69,56.9,62.2,50.4,65.9,0,5,0,,0,0,17.2,12.8,227,1015.3,49.7,10.1,335.8,29,10,10,2025-05-13T05:52:40,2025-05-13T19:46:34,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Los Angeles,2025-05-14,72.1,54.1,62.2,72.1,54.1,62.2,49.9,65.7,0,0,0,,0,0,17.4,10.3,219.6,1014.5,15.1,10.1,337.8,29.2,10,10,2025-05-14T05:51:55,2025-05-14T19:47:19,0.57,Clear,Clear conditions throughout the day.,clear-day,
Los Angeles,2025-05-15,72.2,56.7,63.4,72.2,56.7,63.4,53.5,71.1,0,0,0,,0,0,16.6,9.8,189.3,1013.3,24.5,13.8,337.5,29.1,10,10,2025-05-15T05:51:11,2025-05-15T19:48:04,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-16,69.9,56.7,62.2,69.9,56.7,62.2,54.8,77.6,0,0,0,,0,0,15.9,8.9,191.2,1013.4,50.6,15,233.8,20.3,7,10,2025-05-16T05:50:29,2025-05-16T19:48:49,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-17,67.4,57.5,61.3,67.4,57.5,61.3,54.9,80.3,0,0,0,,0,0,16.6,9.2,187.8,1012.6,62.3,15,136.8,11.9,4,10,2025-05-17T05:49:49,2025-05-17T19:49:33,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-18,67.9,57.6,61.9,67.9,57.6,61.9,54.3,77.2,0,1,0,,0,0,16.6,9.2,196.6,1009.1,44.9,15,289.7,25.1,8,10,2025-05-18T05:49:09,2025-05-18T19:50:17,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-19,72.8,56.6,63.2,72.8,56.6,63.2,53.1,71,0,0,0,,0,0,16.3,9.2,190.8,1014.2,20.9,15,336.9,29,10,10,2025-05-19T05:48:31,2025-05-19T19:51:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-20,80.9,55.3,68,79,55.3,67.7,34.1,30.7,0,0,0,,0,0,8.3,8.3,220.6,1016.3,0,15,362.5,31.4,10,10,2025-05-20T05:47:55,2025-05-20T19:51:43,0.75,Clear,Clear conditions throughout the day.,clear-day,
Los Angeles,2025-05-21,85.9,63.8,74.4,82.6,63.8,73.5,32.6,22.7,0,0,0,,0,0,6.9,8.9,211.1,1014.9,0.9,15,363,31.3,10,10,2025-05-21T05:47:20,2025-05-21T19:52:26,0.82,Clear,Clear conditions throughout the day.,clear-day,
Los Angeles,2025-05-22,87.9,66.1,76,84.1,66.1,74.9,30,19.2,0,0,0,,0,0,8.1,8.7,181.9,1015.6,0,15,367.9,32,10,10,2025-05-22T05:46:47,2025-05-22T19:53:08,0.85,Clear,Clear conditions throughout the day.,clear-day,
Los Angeles,2025-05-23,90.4,67.4,77.9,86.3,67.4,76.6,33.5,20.6,0,0,0,,0,0,5.6,8.3,191.1,1015.6,26.5,15,364,31.3,10,10,2025-05-23T05:46:15,2025-05-23T19:53:50,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-24,88.2,67.9,77.7,84.5,67.9,76.5,37.3,24,0,0,0,,0,0,5.8,8.3,202.1,1013.1,29.5,15,360.3,31.1,10,10,2025-05-24T05:45:45,2025-05-24T19:54:31,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Los Angeles,2025-05-25,86.6,66.5,75.8,83.1,66.5,74.8,29.6,20.2,0,0,0,,0,0,16.3,10.5,321.2,1010.5,38.5,15,361.6,31.3,10,10,2025-05-25T05:45:16,2025-05-25T19:55:11,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Los Angeles,2025-05-26,89.5,63.9,75.7,85.5,63.9,74.5,23.7,15.3,0,0,0,,0,0,13.2,9.2,235.5,1009.8,30.2,15,368,32.1,10,10,2025-05-26T05:44:49,2025-05-26T19:55:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
