name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Santiago,2025-05-12,73.8,46.3,61.2,73.8,44.1,60.7,45,61.5,0,0,0,,0,0,4.7,8.1,219.5,1014.1,19.6,10.9,165,14.3,6,10,2025-05-12T07:25:04,2025-05-12T17:52:39,0.5,Clear,Clear conditions throughout the day.,clear-day,"SCEL,remote"
Santiago,2025-05-13,70.4,58.4,63.4,70.4,58.4,63.4,45.2,52.3,0,0,0,,0,0,6.7,5.4,229.4,1014.3,100,15,135.6,11.7,5,10,2025-05-13T07:25:48,2025-05-13T17:51:55,0.53,Overcast,Cloudy skies throughout the day.,cloudy,
Santiago,2025-05-14,72.1,57.3,63.5,72.1,57.3,63.5,43,48.7,0,0,0,,0,0,6,4.5,211.5,1014,66,15,155.2,13.5,6,10,2025-05-14T07:26:31,2025-05-14T17:51:13,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Santiago,2025-05-15,71.3,56.7,62.7,71.3,56.7,62.7,42.5,48.8,0,0,0,,0,0,6.5,5.4,222.5,1013.8,50.7,15,155.4,13.2,6,10,2025-05-15T07:27:15,2025-05-15T17:50:31,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Santiago,2025-05-16,68.3,54.8,60.5,68.3,54.8,60.5,42,51.4,0,3.2,0,,0,0,6,6.3,234.9,1015.6,35,15,151.8,12.9,6,10,2025-05-16T07:27:57,2025-05-16T17:49:52,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Santiago,2025-05-17,66.8,56.9,61.1,66.8,56.9,61.1,40.8,47.6,0,12.9,0,,0,0,4.5,3.8,223.8,1019.2,99.9,15,122.6,10.5,5,10,2025-05-17T07:28:40,2025-05-17T17:49:13,0.67,Overcast,Cloudy skies throughout the day.,cloudy,
Santiago,2025-05-18,65,59.3,61.9,65,59.3,61.9,43,50.1,0,22.6,0,,0,0,3.6,2.7,228.2,1018.5,100,15,56.8,4.7,2,10,2025-05-18T07:29:22,2025-05-18T17:48:36,0.71,Overcast,Cloudy skies throughout the day.,cloudy,
Santiago,2025-05-19,64.1,57.5,60.7,64.1,57.5,60.7,44.5,55.3,0.004,22.6,4.17,rain,0,0,5.8,3.6,193.2,1018.5,90.4,15,34.9,3.5,1,10,2025-05-19T07:30:04,2025-05-19T17:48:01,0.74,Overcast,Cloudy skies throughout the day.,cloudy,
Santiago,2025-05-20,69.2,54.4,61.2,69.2,54.4,61.2,44.9,57.2,0,3.2,0,,0,0,3.7,2.7,195,1015.8,21,15,147.8,12.6,6,10,2025-05-20T07:30:46,2025-05-20T17:47:27,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Santiago,2025-05-21,73.3,58.4,64.6,73.3,58.4,64.6,38.6,40.2,0,0,0,,0,0,2.5,2.7,217.8,1013,31.6,15,139.3,11.7,5,10,2025-05-21T07:31:27,2025-05-21T17:46:54,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Santiago,2025-05-22,68.3,56.4,61.9,68.3,56.4,61.9,38.7,43.5,0,0,0,,0,0,8.5,6.3,231.7,1016,90.6,15,124.8,10.5,5,10,2025-05-22T07:32:08,2025-05-22T17:46:23,0.85,Overcast,Cloudy skies throughout the day.,cloudy,
Santiago,2025-05-23,67.7,56,61.3,67.7,56,61.3,34.1,36.4,0,6.5,0,,0,0,4.9,5.1,219.5,1017.7,37.6,15,146.6,12.6,6,10,2025-05-23T07:32:48,2025-05-23T17:45:54,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Santiago,2025-05-24,67.9,54.1,60,67.9,54.1,60,36.4,42,0,6.5,0,,0,0,6.3,5.6,223.7,1016.6,0,15,147.6,12.6,6,10,2025-05-24T07:33:28,2025-05-24T17:45:25,0.91,Clear,Clear conditions throughout the day.,clear-day,
Santiago,2025-05-25,65.4,53.3,58.2,65.4,53.3,58.2,38,47.4,0,6.5,0,,0,0,6,6,230.8,1016,0,15,146,12.6,6,10,2025-05-25T07:34:07,2025-05-25T17:44:59,0.95,Clear,Clear conditions throughout the day.,clear-day,
Santiago,2025-05-26,59.6,49.4,53.7,59.6,48.1,53.7,39.5,58.7,0,9.7,0,,0,0,6.9,7.4,215.9,1017.9,50.9,15,133.3,11.5,5,10,2025-05-26T07:34:46,2025-05-26T17:44:34,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
