name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sydney,2025-05-12,69.7,61.8,65,69.7,61.8,65,61.2,88,0.347,100,70.83,rain,0,0,11.2,9.2,337,1025.9,82.9,6,144.3,12.3,6,10,2025-05-12T06:38:01,2025-05-12T17:04:52,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5330,YSSY"
Sydney,2025-05-13,68.8,59.4,63.5,68.8,59.4,63.5,57.6,81.8,0.036,67.7,16.67,rain,0,0,8.3,6.7,134.1,1024.5,16.6,15,151.5,13.1,6,10,2025-05-13T06:38:45,2025-05-13T17:04:07,0.5,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,
Sydney,2025-05-14,72.8,58.2,63.8,72.8,58.2,63.8,56.3,78.2,0.052,45.2,25,rain,0,0,7.6,5.8,330.5,1020,25.1,14.3,152.6,13.2,6,10,2025-05-14T06:39:29,2025-05-14T17:03:22,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
Sydney,2025-05-15,68.8,60.3,63.8,68.8,60.3,63.8,54.6,72.7,0.064,58.1,29.17,rain,0,0,18.8,12.5,170.7,1020.9,38,14.4,142.7,12.4,6,10,2025-05-15T06:40:13,2025-05-15T17:02:40,0.58,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain.,rain,
Sydney,2025-05-16,67.6,59.3,63.4,67.6,59.3,63.4,54.3,72.6,0.028,35.5,20.83,rain,0,0,12.8,7.8,163.5,1018.3,67,15,74.6,6.6,4,10,2025-05-16T06:40:57,2025-05-16T17:01:58,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sydney,2025-05-17,65.6,55.6,60.2,65.6,55.6,60.2,52.4,75.8,0.122,41.9,25,rain,0,0,27.7,21.3,200.1,1016.5,50.7,14.1,97.3,8.6,4,10,2025-05-17T06:41:41,2025-05-17T17:01:18,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Sydney,2025-05-18,59.6,48.6,54.8,59.6,43.7,54.3,41,60.1,0.004,29,4.17,rain,0,0,26.2,17.7,213.3,1027.2,40.8,15,142.5,12,6,10,2025-05-18T06:42:24,2025-05-18T17:00:40,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Sydney,2025-05-19,63.1,46.8,54.6,63.1,43.4,53.9,41.1,61.1,0,12.9,0,,0,0,13.6,7.5,237.9,1031.6,7.6,15,149,12.6,6,10,2025-05-19T06:43:07,2025-05-19T17:00:03,0.72,Clear,Clear conditions throughout the day.,clear-day,
Sydney,2025-05-20,65,48.3,55.7,65,45.1,55.1,44.8,67.9,0,16.1,0,,0,0,12.3,7.2,270,1031.1,0,15,146.4,12.6,6,10,2025-05-20T06:43:49,2025-05-20T16:59:27,0.75,Clear,Clear conditions throughout the day.,clear-day,
Sydney,2025-05-21,64.8,49.7,57.8,64.8,47.3,57.7,47.3,69.1,0.063,32.3,12.5,rain,0,0,21.9,13.4,198.3,1030.9,25.6,14.4,148,12.9,6,10,2025-05-21T06:44:31,2025-05-21T16:58:53,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sydney,2025-05-22,63.4,58.1,60.3,63.4,58.1,60.3,50.1,69.2,0.187,22.6,33.33,rain,0,0,19.2,11.9,155.2,1035,78.6,13.3,69.4,5.7,3,10,2025-05-22T06:45:13,2025-05-22T16:58:20,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sydney,2025-05-23,64.5,57.1,60.1,64.5,57.1,60.1,50.6,71.1,0.096,29,25,rain,0,0,9.2,6.3,100.9,1035.5,55,14.5,101.9,9,4,10,2025-05-23T06:45:54,2025-05-23T16:57:49,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sydney,2025-05-24,67.2,55.8,60.9,67.2,55.8,60.9,53.2,76.1,0.02,16.1,12.5,rain,0,0,14.3,7.8,2.1,1033.9,35.3,15,125.3,11.1,5,10,2025-05-24T06:46:35,2025-05-24T16:57:20,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sydney,2025-05-25,65,54.2,59.7,65,54.2,59.7,54.4,83,0.008,19.4,8.33,rain,0,0,17.4,8.3,343.1,1032.1,38.6,15,114.5,9.9,4,10,2025-05-25T06:47:15,2025-05-25T16:56:52,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sydney,2025-05-26,69,54.9,60.9,69,54.9,60.9,54.6,80.6,0,19.4,0,,0,0,17.7,8.5,354.8,1027.4,84.6,15,112.9,9.9,4,10,2025-05-26T06:47:55,2025-05-26T16:56:25,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
