name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bratislava,2025-05-12,62.3,41,53.1,62.3,36.5,52,38.2,58.8,0,3.2,0,,0,0,16.1,11.1,44.3,1014.7,33,9.9,223,19.2,7,10,2025-05-12T05:16:17,2025-05-12T20:20:34,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LOWW,LZIB,D2516,LZPP"
bratislava,2025-05-13,63.1,44,53.7,63.1,42.5,53.6,42.6,67.9,0.008,0,8.33,rain,0,0,15.2,7.6,71.5,1017.8,61.4,15,250.7,21.6,8,10,2025-05-13T05:14:56,2025-05-13T20:21:53,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-14,69,41.8,56.6,69,41.8,56.6,41,60.1,0,0,0,,0,0,10.1,4.9,248.2,1016.1,61.6,15,301.2,26.1,9,10,2025-05-14T05:13:36,2025-05-14T20:23:12,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-15,61.6,42.3,52.7,61.6,40.4,52.4,41.2,65.4,0.07,32.3,12.5,rain,0,0,39.4,14.1,300.4,1011.3,68.1,14.2,185.8,16,5,10,2025-05-15T05:12:19,2025-05-15T20:24:30,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-16,58.7,39.8,50.1,58.7,36.3,48.6,36.8,61.8,0.012,6.5,8.33,rain,0,0,28,13.9,317.7,1014.2,50.4,15,245,21.2,8,10,2025-05-16T05:11:03,2025-05-16T20:25:47,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-17,63.1,40,52.1,63.1,36.5,50.9,39.2,64.3,0.004,16.1,4.17,rain,0,0,17.9,13.4,331.8,1017.3,24.7,15,284.9,25.1,9,10,2025-05-17T05:09:50,2025-05-17T20:27:04,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
bratislava,2025-05-18,67.9,44,55.9,67.9,41.4,55.3,45.3,69.1,0.051,32.3,12.5,rain,0,0,16.6,11.4,313.7,1017.8,38.9,13.9,272,23.4,9,10,2025-05-18T05:08:38,2025-05-18T20:28:19,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-19,66.5,49.2,57.7,66.5,46.9,57.6,40.3,53.7,0,19.4,0,,0,0,17.2,12.1,349.4,1020.8,56.1,15,320.3,27.9,9,10,2025-05-19T05:07:29,2025-05-19T20:29:34,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-20,71.7,46.5,59.5,71.7,45.6,59.5,41.1,52.6,0,29,0,,0,0,10.1,6.9,145.4,1018.3,19.8,15,328.8,29,9,10,2025-05-20T05:06:21,2025-05-20T20:30:47,0.75,Clear,Clear conditions throughout the day.,clear-day,
bratislava,2025-05-21,72.9,53.7,61.6,72.9,53.7,61.6,48,61.9,0.012,19.4,4.17,rain,0,0,9.1,6.6,98.9,1012.6,56.6,14.5,174.6,15.2,6,10,2025-05-21T05:05:16,2025-05-21T20:32:00,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-22,75.8,51,63.6,75.8,51,63.6,48.9,62.2,0,16.1,0,,0,0,7.8,6.5,336,1012.9,29,14.7,289.8,25.4,8,10,2025-05-22T05:04:12,2025-05-22T20:33:11,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
bratislava,2025-05-23,78.9,56.2,67.5,78.9,56.2,67.5,48.9,53.7,0,19.4,0,,0,0,5.1,4.7,213,1014.1,58.7,15,302.5,26.4,9,10,2025-05-23T05:03:11,2025-05-23T20:34:21,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-24,80,57.1,68.2,80,57.1,68.2,53.6,61.4,0.028,22.6,8.33,rain,0,0,14.8,8.1,250.8,1012.8,93.8,14.3,273.6,23.6,8,10,2025-05-24T05:02:12,2025-05-24T20:35:30,0.91,Overcast,Cloudy skies throughout the day.,cloudy,
bratislava,2025-05-25,76.2,58.7,66.7,76.2,58.7,66.7,54.5,67.7,0.008,29,4.17,rain,0,0,15.7,8.7,340.1,1014.8,77.7,15,298.6,25.7,8,10,2025-05-25T05:01:15,2025-05-25T20:36:38,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
bratislava,2025-05-26,75.8,61.1,67.5,75.8,61.1,67.5,54,62.4,0.008,25.8,8.33,rain,0,0,28.2,15.2,108.2,1016,99.3,15,180.8,15.9,7,10,2025-05-26T05:00:21,2025-05-26T20:37:44,0.98,Overcast,Cloudy skies throughout the day.,cloudy,
